OBJECTID,NAME,GeoNew,SqMi,Zip_Code,Median_Inc,Median_I_1,Percent_Re,RSO,Occupied_H,RSO_per_Oc,Per_who_Pa,Population,High_Chang,Current_Ra,Future_Rai,Housing_Pr,Affordable,Eligible,F7indicato,F2000_est,Difference,Percent_Di,Exclusion_,SHAPE_Length,SHAPE_Area
58,2181.10,A06037218110,0.23112042678,90019,41351,2814,72.910663,806,1243,0.648431,28.947368,3490,0,0,0,0,0,Eligible,0.160528862168,3385,105,3.101920236, ,0.0392591643053248,5.84441588955459e-05
59,2182.10,A06037218210,0.14999293169,90019,32159,5503,73.141361,656,1112,0.589928,45.183486,4067,0,0,0,0.594269,0,Eligible,0.290659439576,4434,-367,-8.276950834, ,0.0265567597794971,3.79284675828718e-05
60,2182.20,A06037218220,0.259759183933,90019,42260,8149,68.379531,726,1575,0.460952,26.961226,4723,0,0,0,0,0,Eligible,0.152959022165,4469,254,5.68359812, ,0.0363181859408677,6.56854597815375e-05
61,2183,A06037218300,0.347801870036,90019,39375,4493,64.651002,1526,2099,0.727013,39.340814,5791,0,0,0,0,0,Eligible,0.181056682395,5569,222,3.986353026, ,0.0540015560208058,8.79476310620544e-05
62,2184,A06037218400,0.253539125122,90016,32058,4578,63.805881,836,1511,0.553276,39.941973,4217,0,0,0,0,0,Eligible,0.174191914165,4624,-407,-8.801903114, ,0.0381599403085672,6.41076041335905e-05
63,2185,A06037218500,0.202030109876,90016,38679,10552,58.863859,454,1051,0.43197,48.088235,3080,0,0,0,0,0,Eligible,0.190961585938,2715,365,13.44383057, ,0.0340586778777871,5.10838255734801e-05
64,2186,A06037218600,0.166265636982,90016,51250,9692,57.317437,671,1107,0.606143,38.379205,3477,0,0,0,0,0,Eligible,0.153617919861,2805,672,23.95721925, ,0.0277465156631858,4.20405361635592e-05
65,2189,A06037218900,0.271586042558,90018,27045,6816,88.811663,1481,1981,0.747602,40.451977,6014,0,0,0,0.618045,0,Eligible,0.311743526647,5432,582,10.71428571, ,0.0355734781763648,6.86672170918894e-05
66,2190.20,A06037219020,0.280502586866,90018,37957,7344,43.508687,714,1317,0.542141,31.818182,4187,0,0.805915,0.724413,0,0,Eligible,0.2919971684,4362,-175,-4.011921137, ,0.0344508616059669,7.09127845418476e-05
67,2717.02,A06037271702,0.27278787066,90034,55135,7101,78.269573,780,1834,0.4253,25.119454,4523,0,0,0.851781,0,0,Eligible,0.30214425634,3935,588,14.94282084, ,0.0400045709924029,6.89653012230602e-05
